id_dataset_historique_seance_exercice,age,sexe,poids_kg,taille_cm,bpm_max,bpm_moyen,bpm_repos,duree_seance_minutes,calories_brulees,type_sport,pourcentage_gras,consommation_eau_ml,frequence_sport_jour_semaine,niveau_experience
9705,56,M,88.3,171,180,157,60,101.4,1313.0,Yoga,12.6,3500.0,4,3
9706,46,F,74.9,153,179,151,66,78.0,883.0,HIIT,33.9,2100.0,4,2
9707,32,F,68.1,166,167,122,54,66.6,677.0,Cardio,33.4,2300.0,4,2
9708,25,M,53.2,170,190,164,56,35.4,532.0,Strength,28.8,2100.0,3,1
9709,38,M,46.1,179,188,158,68,38.4,556.0,Strength,29.2,2800.0,3,1
9710,56,F,58.0,168,168,156,74,95.4,1116.0,HIIT,15.5,2700.0,5,3
9711,36,M,70.3,172,174,169,73,89.4,1385.0,Cardio,21.3,2300.0,3,2
9712,40,F,69.7,151,189,141,64,76.2,895.0,Cardio,30.6,1900.0,3,2
9713,28,M,121.7,194,185,127,52,61.8,719.0,Strength,28.9,2600.0,4,2
9714,28,M,101.8,184,169,136,64,64.8,808.0,Cardio,29.7,2700.0,3,1
9715,41,M,120.8,167,188,146,54,49.2,593.0,HIIT,20.5,3000.0,2,1
9716,53,M,51.7,170,175,152,72,69.0,865.0,HIIT,23.6,3500.0,3,2
9717,57,M,112.5,161,195,165,61,74.4,1013.0,Cardio,22.1,2700.0,3,2
9718,41,M,94.5,200,179,136,69,70.8,794.0,HIIT,27.6,3700.0,3,1
9719,20,M,117.7,181,196,161,54,81.0,1195.0,Yoga,26.4,3300.0,3,2
9720,39,F,42.5,175,181,131,52,67.8,740.0,Strength,26.2,2100.0,2,1
9721,19,F,64.0,153,166,167,58,79.8,1111.0,HIIT,29.8,2300.0,3,2
9722,41,F,43.8,177,182,165,58,71.4,884.0,Cardio,31.9,1600.0,3,1
9723,47,F,66.8,175,199,146,56,67.8,742.0,Strength,32.8,2500.0,3,2
9724,55,F,75.2,167,188,167,51,82.2,1030.0,HIIT,25.2,2200.0,2,1
9725,19,M,89.0,177,175,127,72,90.0,1048.0,Strength,28.9,3700.0,4,2
9726,38,M,71.9,177,197,142,72,67.2,875.0,Cardio,25.7,3100.0,2,1
